ŠAŠ;45.28508;16.6735306
ŽABJAK;45.9271794;16.7316217
ÈABRUNIÆI;45.04216;13.8705397
ÈABRUNIÆI SELO;45.0312805;13.8694897
ÈAGLIN;45.3475778;17.9890806
ÈAÈINCI;45.598689;17.8687825
ÈAKOVEC;46.384321;16.4198808
ÐAKOVO;45.3137808;18.4218196
ANDRIJAŠEVCI;45.2307816;18.7358093
ANDRIJEVCI;45.19133;18.2996693
ANTUNOVAC;45.4834404;18.6754494
ŠAPJANE;45.4763718;14.2489004
BADLJEVINA;45.5031723;17.2084726
BAKOVIÆI;43.6417084;16.1924496
BANOVA JARUGA;45.4462086;16.8759551
BEDEKOVÈINA;46.0415752;15.998218
BELAVIÆI;45.4222367;15.4790351
BELI MANASTIR;45.7660554;18.5957405
BENKOVAC;44.0260582;15.6198301
BIBINJE;44.0808907;15.2824097
BIJELA;45.5730716;17.2612166
BIJELO BRDO;45.5131683;18.8641396
BIZOVAC;45.5870318;18.4523969
BJELOVAR;45.8940991;16.8446838
BLACKO JAKŠIÆ;45.3358762;17.7574358
BLATA;45.033389;15.3977986
BLINJSKI KUT;45.4158401;16.4625702
BOŽJAKOVINA;45.8222276;16.307176
BOROVO-TRPINJA;45.3734067;18.9552081
BORUT;45.3046913;14.0569601
BOTOVO;46.2357903;16.9356194
BRŠADIN;45.3524208;18.8796806
BRÐANI KRAJIŠKI;45.3830719;16.4995995
BRDAŠCE;43.6294098;16.2056408
BRDOVEC;45.8637191;15.7666329
BREGI;46.1270599;16.8967094
BREZINE BUJAVICA;45.4449262;17.0342364
BREZOVLJANI;45.9510244;16.5678517
BRGUD;45.4348602;14.2965803
BRIJEST;45.5169296;18.6773205
BROD MORAVICE;45.4649504;14.9609254
BRODSKI STUPNIK;45.1608887;17.8019695
BUBNJARCI;45.6445503;15.3560305
BUDINŠÆINA;46.1284068;16.2138946
BUDROVCI;45.2616196;18.4256897
BULIÆ;43.9798584;15.7462101
BUZET;45.4263197;13.985473
CABUNA;45.7581311;17.5815952
CAREVDAR;46.0638695;16.6508808
CERA;43.7047386;16.1819191
CERJE TUŽNO;46.2599907;16.2244492
CERNA;45.19487;18.70504
CEROVLJE;45.2778662;14.0146962
CIGLENIK;45.3341789;17.9220409
CIRKVENA;45.9403025;16.6592286
CRET;45.573101;18.4135895
DABAR;43.6727486;16.0155602
DALJ;45.5002183;18.9659894
DARDA;45.6341349;18.6989976
DARUVAR;45.5890975;17.2263352
DEANOVEC;45.6895304;16.4599949
DEBELJAK;44.0509605;15.3499899
DELNICE;45.3916966;14.798848
DESINEC;45.6731178;15.7090693
DOBROVAC;45.4188315;17.1259928
DOLIÆE;46.1721992;15.8681402
DOMAGOVIÆ;45.6332994;15.6326159
DONJA STUBICA;45.9828491;15.9657758
DONJA VRBA;45.1638412;18.1283398
DONJA VRIJESKA;45.6470604;17.2782097
DONJE DUBRAVE;45.3124619;15.36763
DONJI DOLAC;43.6518288;16.1311207
DONJI KRALJEVEC;46.3675919;16.6445004
DONJI LIPOVEC;46.0478706;16.1352569
DONJI MIHALJEVEC;46.3610354;16.7233721
DOPSIN;45.4631615;18.5555191
DRAŠE;46.003521;15.7169199
DRAGALIÆ;45.252491;17.2894192
DRAGANIÆI;45.5694536;15.6094099
DRAGOVCI;45.2153702;17.7126808
DRENOVCI;44.223123;16.2167221
DRENOVCI;44.9180154;18.8583201
DRIVENIK;45.2677506;14.6905018
DRNIŠ;43.8638;16.1819033
DRNJE;46.2140617;16.9003506
DUBRAVA ZABOÈKA;46.0208627;15.9526126
DUGA RESA;45.4485766;15.4990019
DUGO SELO;45.8017513;16.2350725
DUKOVEC;46.0964584;15.9010496
DUNJKOVEC;46.3864403;16.3764191
ÈEHOVEC;46.3705292;16.6214294
ŽEINCI;45.9763646;15.8450765
ÈEMINAC;45.6857414;18.6606808
ÈEPIN;45.520649;18.5831509
ERDUT;45.5073013;19.0536098
ERNESTINOVO;45.4449806;18.6728497
ÐEVRSKE;43.9629593;15.8678598
FERIÈANCI;45.5381178;17.9807627
FRIGIS;45.5580482;18.6436691
FUŽINE;45.299919;14.716145
GAJNICE;45.8136154;15.8720512
GALIŽANA;44.933735;13.8717492
GALOVCI;44.0710106;15.3866301
GARÈIN;45.1738281;18.1928806
GENERALSKI STOL;45.3439598;15.3813896
GOLUBOVEC;46.1741219;15.9883499
GOMIRJE;45.3428158;15.1288254
GORNJA STUBICA;45.983151;16.004045
GORNJE DUBRAVE;45.2790734;15.3075887
GORNJI ZVEÈAJ;45.3765717;15.4172401
GOSPIÆ;44.5354454;15.3948734
GRAÈAC;44.3002332;15.8223913
GRABOŠTANI;45.2795792;16.5462494
GRADEC;45.91445;16.4847665
GRADIŠTE;45.1433411;18.7055092
GREDA;45.5306816;16.2980595
GREDICE;46.0339699;15.72542
GRGINAC;45.9096184;16.8986607
GRGINAC NOVI;45.913794;16.9082163
GUNJA;44.8827286;18.8495693
GYEKENYES;46.2490748;16.9554016
HARMICA;45.891819;15.6905403
HEKI;45.2158838;13.8869069
HEKI TOVARIŠTE;45.2237282;13.8983803
HORVATI;45.7137394;15.8174727
HRAŠÆINA-TRGOVIŠÆE;46.105773;16.1997246
HRASTOVAC;45.3110886;16.55126
HRSOVO;45.9363381;16.6875565
HRVATSKA DUBICA;45.2217102;16.8112793
HRVATSKA KOSTAJNICA;45.2349396;16.5325603
HRVATSKI LESKOVAC;45.7444295;15.8921092
HUM LUG;46.0208526;15.9263568
HUM U ISTRI;45.3440811;14.0726079
ŠIBENIK;43.730062;15.8981794
ŠIDSKI BANOVCI;45.1795197;19.0739193
ŠIJANA;44.8885689;13.8710499
ILAÈA;45.1715889;19.1010704
ILOVA;45.4505231;16.8342663
ŠIRINEC;45.6711138;16.4908756
ŽITNIÆ;43.8320007;16.1505394
ŽIVAJA;45.246783;16.7273076
IVANEC;46.2318306;16.1299992
IVANIÆ GRAD;45.7072391;16.3982993
IVANKOVO;45.2787018;18.6737804
IVOŠEVCI;44.0121002;15.98701
JALŽABET;46.2688484;16.4759007
JASENOVAC;45.2763481;16.9155293
JASTREBARSKO;45.6571176;15.6473545
JELISAVAC;45.5234476;18.1549006
JOSIPDOL;45.1969947;15.2888703
JOSIPOVAC;45.5742416;18.5953808
JUŠIÆI;45.0243683;13.8654664
JURDANI;45.3921318;14.31353
JURŠIÆI;45.0255699;13.8698301
ŠKABRNJE;44.0867119;15.4611397
KALDRMA;44.314769;16.1939804
KALINOVAC;46.0131683;17.1008091
